screen_name,name,total_likes,total_retweets,num_posts,img_url
SeanPJackson,Sean Jackson,38,27,11,images/SeanPJackson.jpg
shank4494,Nick Cruickshank,124,50,16,images/shank4494.jpg
spcanelon,Silvia Canelón,713,202,22,images/spcanelon.jpg
StarTrek_Lt,"BHSci_,Python, _R_ & Skepticism 🦄🇨🇦🌈",188,90,28,images/StarTrek_Lt.jpg
stephspiel,"Stephanie Spielman, PhD",77,30,17,images/stephspiel.jpg
swarau,Susan,89,42,14,images/swarau.jpg
tessuheagle,tessa e,330,75,13,images/tessuheagle.jpg
thomas_mock,Tom Mock,4299,1106,133,images/thomas_mock.jpg
toeb18,Tobias Stalder,1173,187,17,images/toeb18.jpg
trevin_flick,Trevin Flickinger,88,37,18,images/trevin_flick.jpg
vicorib,Viktor,59,30,11,images/vicorib.jpg
vivekparasharr,Vivek Parashar,164,75,17,images/vivekparasharr.jpg
winterstat,Sonja Winter,571,82,13,images/winterstat.jpg
